Area,Category,Fuel_Type,Year,Energy_Gen
WA,renewable,Wind,2010-11,719
WA,renewable,Small-scale solar PV,2010-11,198
SA,non-renewable,Brown coal,2010-11,4232
SA,non-renewable,Natural gas,2010-11,6693
SA,non-renewable,Oil products,2010-11,89
SA,non-renewable,Other,2010-11,267
SA,renewable,Biogas,2010-11,78
SA,renewable,Wind,2010-11,2890
SA,renewable,Hydro,2010-11,4
SA,renewable,Small-scale solar PV,2010-11,183
TAS,non-renewable,Natural gas,2010-11,1506
TAS,non-renewable,Oil products,2010-11,95
TAS,renewable,Biogas,2010-11,30
TAS,renewable,Wind,2010-11,484
TAS,renewable,Hydro,2010-11,9452
TAS,renewable,Small-scale solar PV,2010-11,12
NT,non-renewable,Natural gas,2010-11,2054
NT,non-renewable,Oil products,2010-11,1023
NT,non-renewable,Other,2010-11,1
NT,renewable,Biogas,2010-11,9
NT,renewable,Small-scale solar PV,2010-11,6
All,non-renewable,Black coal,2011-12,116654
All,non-renewable,Brown coal,2011-12,55068
All,non-renewable,Natural gas,2011-12,48572
All,non-renewable,Oil products,2011-12,2703
All,non-renewable,Other,2011-12,1088
All,renewable,Bagasse_wood,2011-12,1606
All,renewable,Biogas,2011-12,1437
All,renewable,Wind,2011-12,6970
All,renewable,Hydro,2011-12,14083
All,renewable,Small-scale solar PV,2011-12,2559
All,renewable,Geothermal,2011-12,1
NSW,non-renewable,Black coal,2011-12,60454
NSW,non-renewable,Natural gas,2011-12,4212
NSW,non-renewable,Oil products,2011-12,42
NSW,renewable,Bagasse_wood,2011-12,414
NSW,renewable,Biogas,2011-12,409
NSW,renewable,Wind,2011-12,698
NSW,renewable,Hydro,2011-12,2447
NSW,renewable,Small-scale solar PV,2011-12,658
VIC,non-renewable,Brown coal,2011-12,52060
VIC,non-renewable,Natural gas,2011-12,1143
VIC,non-renewable,Oil products,2011-12,4
VIC,renewable,Bagasse_wood,2011-12,187
VIC,renewable,Biogas,2011-12,672
VIC,renewable,Wind,2011-12,1416
VIC,renewable,Hydro,2011-12,2393
VIC,renewable,Small-scale solar PV,2011-12,379
QLD,non-renewable,Black coal,2011-12,45417
QLD,non-renewable,Natural gas,2011-12,15303
QLD,non-renewable,Oil products,2011-12,306
QLD,non-renewable,Other,2011-12,16
QLD,renewable,Bagasse_wood,2011-12,1006
QLD,renewable,Biogas,2011-12,119
QLD,renewable,Wind,2011-12,28
QLD,renewable,Hydro,2011-12,723
QLD,renewable,Small-scale solar PV,2011-12,760
QLD,renewable,Geothermal,2011-12,1
WA,non-renewable,Black coal,2011-12,10783
WA,non-renewable,Natural gas,2011-12,17538
WA,non-renewable,Oil products,2011-12,1171
WA,non-renewable,Other,2011-12,1072
WA,renewable,Biogas,2011-12,126
WA,renewable,Wind,2011-12,1279
WA,renewable,Small-scale solar PV,2011-12,331
SA,non-renewable,Brown coal,2011-12,3008
SA,non-renewable,Natural gas,2011-12,6703
SA,non-renewable,Oil products,2011-12,98
SA,renewable,Biogas,2011-12,71
SA,renewable,Wind,2011-12,3127
SA,renewable,Hydro,2011-12,4
SA,renewable,Small-scale solar PV,2011-12,398
TAS,non-renewable,Natural gas,2011-12,1563
TAS,non-renewable,Oil products,2011-12,61
TAS,renewable,Biogas,2011-12,33
TAS,renewable,Wind,2011-12,423
TAS,renewable,Hydro,2011-12,8516
TAS,renewable,Small-scale solar PV,2011-12,23
NT,non-renewable,Natural gas,2011-12,2109
NT,non-renewable,Oil products,2011-12,1021
NT,renewable,Biogas,2011-12,8
NT,renewable,Small-scale solar PV,2011-12,10
All,non-renewable,Black coal,2012-13,111491
All,non-renewable,Brown coal,2012-13,47555
All,non-renewable,Natural gas,2012-13,51053
All,non-renewable,Oil products,2012-13,4464
All,non-renewable,Other,2012-13,1945
All,renewable,Bagasse_wood,2012-13,1714
All,renewable,Biogas,2012-13,1429
All,renewable,Wind,2012-13,7960
All,renewable,Hydro,2012-13,18270
All,renewable,Small-scale solar PV,2012-13,3826
All,renewable,Geothermal,2012-13,1
NSW,non-renewable,Black coal,2012-13,56799
NSW,non-renewable,Natural gas,2012-13,5169
NSW,non-renewable,Oil products,2012-13,191
NSW,renewable,Bagasse_wood,2012-13,425
NSW,renewable,Biogas,2012-13,413
NSW,renewable,Wind,2012-13,833
NSW,renewable,Hydro,2012-13,3298
NSW,renewable,Small-scale solar PV,2012-13,858
VIC,non-renewable,Brown coal,2012-13,45318
VIC,non-renewable,Natural gas,2012-13,3248
VIC,non-renewable,Oil products,2012-13,11
VIC,renewable,Bagasse_wood,2012-13,171
VIC,renewable,Biogas,2012-13,674
VIC,renewable,Wind,2012-13,2005
VIC,renewable,Hydro,2012-13,3294
VIC,renewable,Small-scale solar PV,2012-13,580
QLD,non-renewable,Black coal,2012-13,44416
QLD,non-renewable,Natural gas,2012-13,13910
QLD,non-renewable,Oil products,2012-13,1043
QLD,non-renewable,Other,2012-13,54
QLD,renewable,Bagasse_wood,2012-13,1118
QLD,renewable,Biogas,2012-13,121
QLD,renewable,Wind,2012-13,31
QLD,renewable,Hydro,2012-13,684
QLD,renewable,Small-scale solar PV,2012-13,1310
QLD,renewable,Geothermal,2012-13,1
WA,non-renewable,Black coal,2012-13,10277
WA,non-renewable,Natural gas,2012-13,17645
WA,non-renewable,Oil products,2012-13,2045
WA,non-renewable,Other,2012-13,1856
WA,renewable,Biogas,2012-13,108
WA,renewable,Wind,2012-13,1300
WA,renewable,Hydro,2012-13,221
WA,renewable,Small-scale solar PV,2012-13,450
SA,non-renewable,Brown coal,2012-13,2238
SA,non-renewable,Natural gas,2012-13,7061
SA,non-renewable,Oil products,2012-13,141
SA,non-renewable,Other,2012-13,9
SA,renewable,Biogas,2012-13,73
SA,renewable,Wind,2012-13,3314
SA,renewable,Hydro,2012-13,6
SA,renewable,Small-scale solar PV,2012-13,559
TAS,non-renewable,Natural gas,2012-13,1753
TAS,non-renewable,Oil products,2012-13,12
TAS,non-renewable,Other,2012-13,27
TAS,renewable,Biogas,2012-13,33
TAS,renewable,Wind,2012-13,478
TAS,renewable,Hydro,2012-13,10766
TAS,renewable,Small-scale solar PV,2012-13,53
NT,non-renewable,Natural gas,2012-13,2269
NT,non-renewable,Oil products,2012-13,1022
NT,renewable,Biogas,2012-13,7
NT,renewable,Small-scale solar PV,2012-13,17
All,non-renewable,Black coal,2013-14,106966
All,non-renewable,Brown coal,2013-14,46076
All,non-renewable,Natural gas,2013-14,54394
All,non-renewable,Oil products,2013-14,5012
All,renewable,Bagasse_wood,2013-14,2054
All,renewable,Biogas,2013-14,1446
All,renewable,Wind,2013-14,10252
All,renewable,Hydro,2013-14,18421
All,renewable,Large-scale solar PV,2013-14,50
All,renewable,Small-scale solar PV,2013-14,4366
All,renewable,Geothermal,2013-14,1
NSW,non-renewable,Black coal,2013-14,55820
NSW,non-renewable,Natural gas,2013-14,5528
NSW,non-renewable,Oil products,2013-14,171
NSW,renewable,Bagasse_wood,2013-14,462
NSW,renewable,Biogas,2013-14,421
NSW,renewable,Wind,2013-14,899
NSW,renewable,Hydro,2013-14,2721
NSW,renewable,Large-scale solar PV,2013-14,11
NSW,renewable,Small-scale solar PV,2013-14,965
VIC,non-renewable,Brown coal,2013-14,43978
VIC,non-renewable,Natural gas,2013-14,3239
VIC,non-renewable,Oil products,2013-14,146
VIC,renewable,Bagasse_wood,2013-14,189
VIC,renewable,Biogas,2013-14,698
VIC,renewable,Wind,2013-14,2772
VIC,renewable,Hydro,2013-14,2595
VIC,renewable,Large-scale solar PV,2013-14,4
VIC,renewable,Small-scale solar PV,2013-14,674
QLD,non-renewable,Black coal,2013-14,40261
